point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000080,18.327427355,15.642967554,24.706222059,2.477752542,-1.290223096,-1.037674504,PA,T2
point-0000081,18.535155110,16.591251082,22.732821182,0.260686480,-1.314141202,-0.931389530,PA,T2
point-0000082,18.741906491,17.651705129,20.784009038,-1.906211865,-1.338692295,-0.832983601,PA,T2
point-0000083,18.947402906,18.849035976,18.846539512,-3.983249524,-1.364797889,-0.745292900,PA,T2
point-0000084,19.150767385,20.185453163,16.929468649,-5.943907189,-1.391395348,-0.667673048,PA,T2
point-0000085,19.351133170,21.666898327,15.047774399,-7.759808545,-1.417524236,-0.599804490,PA,T2
point-0000086,19.548518607,23.335461315,13.201851460,-9.364393688,-1.443425497,-0.544089158,PA,T2
point-0000087,19.743211788,25.198405872,11.419818139,-10.736442367,-1.468084217,-0.499669914,PA,T2
point-0000088,19.936134679,27.275637424,9.728697302,-11.831681535,-1.490807595,-0.466827344,PA,T2
point-0000089,20.130770601,29.622847373,8.143489230,-12.539797217,-1.511746622,-0.448359352,PA,T2
point-0000090,20.330532457,32.236255204,6.705947726,-12.826421875,-1.529986949,-0.443373360,PA,T2
point-0000091,20.541323644,35.128757056,5.451015457,-12.589808129,-1.544956966,-0.452983095,PA,T2
point-0000092,20.775048880,38.329021160,4.401277105,-11.616389725,-1.556796957,-0.480968688,PA,T2
point-0000093,21.038101218,41.754764280,3.590137514,-9.834380626,-1.564882109,-0.526182082,PA,T2
point-0000094,21.344756532,45.323943526,3.026987630,-6.987934561,-1.569349870,-0.591763587,PA,T2
point-0000095,21.703740067,48.836506289,2.704073471,-2.919372864,-1.570827178,-0.678113479,PA,T2
point-0000096,22.122139801,52.000000000,2.600000000,2.500000000,-1.570796327,-0.785398163,PA,T2
point-0000097,23.247555271,12.000000000,39.300009891,17.315843634,-1.210279180,-2.827433248,,
point-0000098,23.447207103,12.057447568,37.092924149,15.292439452,-1.213547193,-2.658551494,PA,T2
point-0000099,23.649505411,12.244068324,34.909298769,13.193632862,-1.222210359,-2.501586062,PA,T2
point-0000100,23.852360224,12.574444959,32.729541642,11.096425890,-1.233560879,-2.354781111,PA,T2
point-0000101,24.055913023,13.052944006,30.567881422,8.993842794,-1.247238667,-2.216799920,PA,T2
point-0000102,24.260646627,13.671075728,28.435930233,6.871635622,-1.263223989,-2.086686698,PA,T2
point-0000103,24.465821342,14.415643569,26.341434409,4.743149000,-1.280349452,-1.962896163,PA,T2
point-0000104,24.672278770,15.285488272,24.287256300,2.595063084,-1.299998884,-1.847046109,PA,T2
point-0000105,24.879566655,16.272848065,22.268918057,0.445809375,-1.321765376,-1.739203753,PA,T2
point-0000106,25.086435472,17.368037870,20.288814335,-1.677527090,-1.344499341,-1.638784620,PA,T2
point-0000107,25.292484094,18.594067381,18.331234709,-3.731143753,-1.369110576,-1.548813230,PA,T2
point-0000108,25.496773637,19.955069343,16.400471411,-5.683072471,-1.394581069,-1.468962234,PA,T2
point-0000109,25.698317130,21.455006066,14.510361266,-7.504369764,-1.419791779,-1.398760360,PA,T2
point-0000110,25.896976640,23.136659341,12.659076583,-9.124415304,-1.444975880,-1.340767920,PA,T2
point-0000111,26.092984521,25.009686699,10.872396918,-10.518631702,-1.469107183,-1.294246328,PA,T2
point-0000112,26.287117794,27.091986147,9.177655234,-11.646292290,-1.491393405,-1.259271361,PA,T2
point-0000113,26.482714498,29.442474985,7.588168298,-12.392482167,-1.512010510,-1.238824777,PA,T2
point-0000114,26.683211689,32.060328345,6.144719403,-12.721270672,-1.530042409,-1.232056157,PA,T2
point-0000115,26.894261878,34.957837308,4.882897330,-12.536235698,-1.544867554,-1.239897343,PA,T2
point-0000116,27.128001031,38.170565355,3.824693173,-11.613614163,-1.556655217,-1.266424192,PA,T2
point-0000117,27.391253200,41.620050238,3.004508487,-9.875444254,-1.564764001,-1.310585860,PA,T2
point-0000118,27.698595049,45.225707278,2.434697736,-7.059803853,-1.569282503,-1.375570290,PA,T2
point-0000119,28.060110368,48.787432778,2.106796441,-2.983949280,-1.570811018,-1.462187885,PA,T2
point-0000120,28.483880187,52.000000000,2.000000000,2.500000000,-1.570796327,-1.570796327,PA,T2
point-0000121,28.495880187,52.000000000,2.600000000,2.500000000,-1.570796327,-1.570796327,,
point-0000122,28.914279921,48.836506289,2.704073471,-2.919372864,-1.570827178,-1.463511643,ABS,T3
