source_point_id,time_s,rotary_phase_rad,X,Y,Z,A_rad,C_rad
point-0000254,219.302833369,3.752457892,39.275096735,-255.800000000,-330.602111876,1.570796327,-2.181661565
point-0000255,220.175497995,3.665191429,69.185842870,-255.800000000,-325.866604984,1.570796327,-2.094395102
point-0000256,221.048162621,3.577924967,98.570042966,-255.800000000,-318.542224830,1.570796327,-2.007128640
point-0000257,221.920827247,3.490658504,127.204065516,-255.800000000,-308.684714369,1.570796327,-1.919862177
point-0000258,222.793491873,3.403392041,154.869988320,-255.800000000,-296.369095209,1.570796327,-1.832595715
point-0000259,223.666156499,3.316125579,181.357256999,-255.800000000,-281.689096647,1.570796327,-1.745329252
point-0000260,224.538821125,3.228859116,206.464287447,-255.800000000,-264.756442336,1.570796327,-1.658062789
point-0000261,225.411485751,3.141592654,230.000000000,-255.800000000,-245.700000000,1.570796327,-1.570796327
point-0000262,226.284150377,3.054326191,251.785273675,-255.800000000,-224.664800672,1.570796327,-1.483529864
point-0000263,227.156815003,2.967059728,271.654309386,-255.800000000,-201.810934920,1.570796327,-1.396263402
point-0000264,228.029479629,2.879793266,289.455891773,-255.800000000,-177.312334462,1.570796327,-1.308996939
point-0000265,228.902144255,2.792526803,305.054540045,-255.800000000,-151.355448439,1.570796327,-1.221730476
point-0000266,229.774808881,2.705260341,318.331539071,-255.800000000,-124.137824429,1.570796327,-1.134464014
point-0000267,230.647473507,2.617993878,329.185842870,-255.800000000,-95.866604984,1.570796327,-1.047197551
point-0000268,231.520138133,2.530727415,337.534843638,-255.800000000,-66.756951154,1.570796327,-0.959931089
point-0000269,232.392802759,2.443460953,343.315000436,-255.800000000,-37.030404983,1.570796327,-0.872664626
point-0000270,233.265467385,2.356194490,346.482322781,-255.800000000,-6.913203436,1.570796327,-0.785398163
point-0000271,234.138132011,2.268928028,347.012705439,-255.800000000,23.365443399,1.570796327,-0.698131701
point-0000272,235.010796637,2.181661565,344.902111876,-255.800000000,53.575096735,1.570796327,-0.610865238
point-0000273,235.883461263,2.094395102,340.166604984,-255.800000000,83.485842870,1.570796327,-0.523598776
