source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000032,30.641563892,285.879435457,202.285580179,312.290625000,0.000000000,0.000000000
point-0000033,31.636495486,287.205432062,203.281238975,312.300000000,0.000000000,0.000000000
point-0000034,32.626651417,286.220959525,204.605657195,312.309375000,0.000000000,0.000000000
point-0000035,33.616806010,285.236123908,205.929802672,312.318750000,0.000000000,0.000000000
point-0000036,34.606959339,284.250925212,207.253675406,312.328125000,0.000000000,0.000000000
point-0000037,35.597111480,283.265363437,208.577275396,312.337500000,0.000000000,0.000000000
point-0000038,36.587262507,282.279438583,209.900602644,312.346875000,0.000000000,0.000000000
point-0000039,37.577412496,281.293150649,211.223657149,312.356250000,0.000000000,0.000000000
point-0000040,38.567561521,280.306499636,212.546438910,312.365625000,0.000000000,0.000000000
point-0000041,39.557709658,279.319485544,213.868947929,312.375000000,0.000000000,0.000000000
point-0000042,40.547856981,278.332108372,215.191184204,312.384375000,0.000000000,0.000000000
point-0000043,41.538003566,277.344368121,216.513147736,312.393750000,0.000000000,0.000000000
point-0000044,42.528149487,276.356264791,217.834838526,312.403125000,0.000000000,0.000000000
point-0000045,43.518294819,275.367798381,219.156256572,312.412500000,0.000000000,0.000000000
point-0000046,44.508439637,274.378968893,220.477401875,312.421875000,0.000000000,0.000000000
point-0000047,45.498584017,273.389776325,221.798274435,312.431250000,0.000000000,0.000000000
point-0000048,46.488728033,272.400220677,223.118874252,312.440625000,0.000000000,0.000000000
point-0000049,47.478871761,271.410301951,224.439201326,312.450000000,0.000000000,0.000000000
point-0000050,48.469015274,270.420020145,225.759255656,312.459375000,0.000000000,0.000000000
point-0000051,49.459158649,269.429375259,227.079037244,312.468750000,0.000000000,0.000000000
point-0000052,50.449301960,268.438367295,228.398546089,312.478125000,0.000000000,0.000000000
point-0000053,51.439445282,267.446996251,229.717782190,312.487500000,0.000000000,0.000000000
point-0000054,52.429588691,266.455262128,231.036745549,312.496875000,0.000000000,0.000000000
point-0000055,53.419732260,265.463164925,232.355436164,312.506250000,0.000000000,0.000000000
point-0000056,54.409876065,264.470704644,233.673854036,312.515625000,0.000000000,0.000000000
point-0000057,55.400020182,263.477881283,234.991999166,312.525000000,0.000000000,0.000000000
point-0000058,56.390164685,262.484694842,236.309871552,312.534375000,0.000000000,0.000000000
point-0000059,57.380309648,261.491145323,237.627471195,312.543750000,0.000000000,0.000000000
point-0000060,58.370455148,260.497232724,238.944798095,312.553125000,0.000000000,0.000000000
point-0000061,59.360601258,259.502957046,240.261852252,312.562500000,0.000000000,0.000000000
point-0000062,60.350748055,258.508318288,241.578633666,312.571875000,0.000000000,0.000000000
point-0000063,61.282768206,257.493972803,242.755053713,312.581250000,0.000000000,0.000000000
point-0000064,62.271928373,256.179768537,241.759733596,312.590625000,0.000000000,0.000000000
point-0000065,63.261089647,254.865837022,240.764050389,312.600000000,0.000000000,0.000000000
point-0000066,64.251085340,255.862363997,239.448979936,312.600000000,0.000000000,0.000000000
point-0000067,65.241081032,256.858892265,238.133910462,312.600000000,0.000000000,0.000000000
point-0000068,66.231076725,257.855420533,236.818840989,312.600000000,0.000000000,0.000000000
point-0000069,67.221072417,258.851948801,235.503771516,312.600000000,0.000000000,0.000000000
point-0000070,68.211068110,259.848477070,234.188702043,312.600000000,0.000000000,0.000000000
point-0000071,69.201063802,260.845005338,232.873632569,312.600000000,0.000000000,0.000000000
point-0000072,70.191059495,261.841533606,231.558563096,312.600000000,0.000000000,0.000000000
point-0000073,71.181055187,262.838061874,230.243493623,312.600000000,0.000000000,0.000000000
point-0000074,72.171050880,263.834590143,228.928424149,312.600000000,0.000000000,0.000000000
point-0000075,73.161046573,264.831118411,227.613354676,312.600000000,0.000000000,0.000000000
point-0000076,74.151042265,265.827646679,226.298285203,312.600000000,0.000000000,0.000000000
point-0000077,75.141037958,266.824174947,224.983215730,312.600000000,0.000000000,0.000000000
point-0000078,76.131033650,267.820703216,223.668146256,312.600000000,0.000000000,0.000000000
point-0000079,77.121029343,268.817231484,222.353076783,312.600000000,0.000000000,0.000000000
point-0000080,78.111025035,269.813759752,221.038007310,312.600000000,0.000000000,0.000000000
point-0000081,79.101020728,270.810288020,219.722937836,312.600000000,0.000000000,0.000000000
point-0000082,80.091016420,271.806816288,218.407868363,312.600000000,0.000000000,0.000000000
point-0000083,81.081012113,272.803344557,217.092798890,312.600000000,0.000000000,0.000000000
point-0000084,82.071007805,273.799872825,215.777729417,312.600000000,0.000000000,0.000000000
point-0000085,83.061003498,274.796401093,214.462659943,312.600000000,0.000000000,0.000000000
point-0000086,84.050999190,275.792929361,213.147590470,312.600000000,0.000000000,0.000000000
point-0000087,85.040994883,276.789457630,211.832520997,312.600000000,0.000000000,0.000000000
point-0000088,86.030990575,277.785985898,210.517451523,312.600000000,0.000000000,0.000000000
point-0000089,87.020986268,278.782514166,209.202382050,312.600000000,0.000000000,0.000000000
point-0000090,88.010981960,279.779042434,207.887312577,312.600000000,0.000000000,0.000000000
point-0000091,89.000977653,280.775570703,206.572243104,312.600000000,0.000000000,0.000000000
point-0000092,89.990973345,281.772098971,205.257173630,312.600000000,0.000000000,0.000000000
point-0000093,90.980969038,282.768627239,203.942104157,312.600000000,0.000000000,0.000000000
point-0000094,91.970964731,283.765155507,202.627034684,312.600000000,0.000000000,0.000000000
point-0000095,92.902894791,284.780989082,201.452060438,312.600000000,0.000000000,0.000000000
point-0000096,93.892890484,286.096058555,202.448588707,312.600000000,0.000000000,0.000000000
point-0000097,94.882885575,287.411126625,203.445117168,312.600000000,0.000000000,0.000000000
point-0000098,95.872881268,286.414598404,204.760186677,312.600000000,0.000000000,0.000000000
point-0000099,96.862876960,285.418070182,206.075256186,312.600000000,0.000000000,0.000000000
point-0000100,97.852872653,284.421541961,207.390325695,312.600000000,0.000000000,0.000000000
point-0000101,98.842868345,283.425013739,208.705395203,312.600000000,0.000000000,0.000000000
point-0000102,99.832864038,282.428485518,210.020464712,312.600000000,0.000000000,0.000000000
point-0000103,100.822859730,281.431957297,211.335534221,312.600000000,0.000000000,0.000000000
point-0000104,101.812855423,280.435429075,212.650603730,312.600000000,0.000000000,0.000000000
point-0000105,102.802851116,279.438900854,213.965673238,312.600000000,0.000000000,0.000000000
point-0000106,103.792846808,278.442372632,215.280742747,312.600000000,0.000000000,0.000000000
point-0000107,104.782842501,277.445844411,216.595812256,312.600000000,0.000000000,0.000000000
point-0000108,105.772838193,276.449316190,217.910881765,312.600000000,0.000000000,0.000000000
point-0000109,106.762833886,275.452787968,219.225951274,312.600000000,0.000000000,0.000000000
point-0000110,107.752829578,274.456259747,220.541020782,312.600000000,0.000000000,0.000000000
point-0000111,108.742825271,273.459731525,221.856090291,312.600000000,0.000000000,0.000000000
point-0000112,109.732820963,272.463203304,223.171159800,312.600000000,0.000000000,0.000000000
point-0000113,110.722816656,271.466675082,224.486229309,312.600000000,0.000000000,0.000000000
point-0000114,111.712812348,270.470146861,225.801298817,312.600000000,0.000000000,0.000000000
point-0000115,112.702808041,269.473618640,227.116368326,312.600000000,0.000000000,0.000000000
point-0000116,113.692803733,268.477090418,228.431437835,312.600000000,0.000000000,0.000000000
point-0000117,114.682799426,267.480562197,229.746507344,312.600000000,0.000000000,0.000000000
point-0000118,115.672795118,266.484033975,231.061576852,312.600000000,0.000000000,0.000000000
point-0000119,116.662790811,265.487505754,232.376646361,312.600000000,0.000000000,0.000000000
point-0000120,117.652786503,264.490977533,233.691715870,312.600000000,0.000000000,0.000000000
point-0000121,118.642782196,263.494449311,235.006785379,312.600000000,0.000000000,0.000000000
point-0000122,119.632777888,262.497921090,236.321854887,312.600000000,0.000000000,0.000000000
point-0000123,120.622773581,261.501392868,237.636924396,312.600000000,0.000000000,0.000000000
point-0000124,121.612769274,260.504864647,238.951993905,312.600000000,0.000000000,0.000000000
point-0000125,122.602764966,259.508336426,240.267063414,312.600000000,0.000000000,0.000000000
point-0000126,123.592760659,258.511808204,241.582132923,312.600000000,0.000000000,0.000000000
point-0000127,124.524691170,257.495974874,242.757108371,312.600000000,0.000000000,0.000000000
point-0000128,125.514686862,256.180905948,241.760579380,312.600000000,0.000000000,0.000000000
point-0000129,126.504682555,254.865837022,240.764050389,312.600000000,0.000000000,0.000000000
